,indexAudible,nombreAutor
646,515,Marvel
647,516,AlejandroKhan
648,517,JoannaNadin
649,518,ChenJiatong
650,518,UlrikeKöbele-Übersetzer
651,519,WilliamGoldsmith
652,520,F.S.Dawson
653,521,ZackLoranClark
654,522,JenniferL.Holm
655,522,MatthewHolm
656,523,GertrudeChandlerWarner
657,524,RodmanPhilbrick
658,525,PeterBrown
659,526,AnthonyHorowitz
660,527,DavidWalliams
661,528,CarolynKeene
662,529,TuiT.Sutherland
663,530,JulieSykes
664,531,LindaSuePark
665,532,TuiT.Sutherland
666,533,FranklinW.Dixon
667,534,DavPilkey
668,535,Sanrio
669,535,NeusCasanovaVico
670,536,Sanrio
671,536,NeusCasanovaVico
672,537,Sanrio
673,537,NeusCasanovaVico
674,538,MichaelEnde
675,539,JaumeCabré
676,539,RominaMartí-ilustrador
677,539,ConchaCardeñoso-traductor
678,540,CarinaDiedericks-Hugo
679,541,ВладимирКарповичЖелезников
680,542,ФренсисЭлизаБёрнетт
681,543,АнтуандеСент-Экзюпери
682,544,TomHuddleston
683,545,TomHuddleston
684,546,AllySherrick
685,547,MarcThil
686,548,BettinaRakowitz
687,549,JannekeSchotveld
688,550,Disney
689,550,AnneLundGillesberg
690,551,Disney
691,551,TineS.Norbøll
692,552,StellaTarakson
693,553,NickReinhart
694,554,JamesMoloney
695,555,JeanneWillis
696,555,EricBetsch-traducteur
697,556,NancyKrulik
698,557,KatiNaumann
699,558,OrianneLallemand
700,559,OrianneLallemand
701,560,OrianneLallemand
702,561,OrianneLallemand
703,562,OrianneLallemand
704,563,OrianneLallemand
705,564,OrianneLallemand
706,565,OrianneLallemand
707,566,AnaJuan
708,567,MichaelEngler
709,568,Mattel
710,568,RaquelLuqueBenitez
711,569,AndreuMartín
712,570,SeanEasley
713,570,UlrikeRaimer-Nolte-Übersetzer
714,571,GinaMayer
715,572,GinaMayer
716,573,ГеннадийКораблев
717,574,AnnetSchaap
718,575,MacKenzieCadenhead
719,575,SeanRyan
720,575,AnkeAlbrecht-Übersetzer
721,576,ChristineFrank
722,577,J.M.Barrie
723,578,OlivierCohen
724,578,YassenVodenitcharov
725,578,Jean-LoupPagesy
726,579,Mattel
727,579,MarieTimothéeMackowiak
728,580,Mattel
729,580,MarieTimothéeMackowiak
730,581,Mattel
731,581,MarieTimothéeMackowiak
732,582,Mattel
733,583,JessicaDayGeorge
734,584,FrederikKugler-Übersetzer
735,584,BirteBaumgardt
736,585,Mattel
737,586,Mattel
738,587,KrisHumphrey
739,588,DanielPeak
740,589,Mattel
741,590,Mattel
742,591,Mattel
743,592,Mattel
744,593,Mattel
745,594,LoïcBurlot
746,595,TanyaStewner
747,596,TanyaStewner
748,597,Mattel
749,597,MarieTimothéeMackowiak
750,598,Mattel
751,598,MarieTimothéeMackowiak
752,599,Mattel
753,599,MarieTimothéeMackowiak
754,600,Mattel
755,600,MarieTimothéeMackowiak
756,601,Mattel
757,601,MarieTimothéeMackowiak
758,602,ElsaPunset
759,603,LineKyedKnudsen
760,604,LineKyedKnudsen
761,605,LineKyedKnudsen
762,606,JordiSierraiFabra
763,607,ErinHunter
764,608,ErinHunter
765,609,ErinHunter
766,610,JustinSomper
767,611,JoséMaríaCarrascoSoriano
768,612,RicardRuizGarzón
769,613,ElHolly
770,614,GeronimoStilton
771,615,ChrisColfer
772,615,NaemiSchuhmacher-Übersetzer
773,616,IrmgardKramer
774,617,RicardoAlcántara
775,618,Mattel
776,618,MarieTimothéeMackowiak
777,619,JuliaBoehme
778,620,TomPercival
779,621,DonnaSeim
780,622,AliciaMolina
781,623,Mattel
782,623,MarieTimothéeMackowiak
783,624,SabrinaCatdoor
784,625,SabrinaCatdoor
785,626,OctaviFranch
786,627,NeillCameron
787,628,GemmaFowler
788,629,EmmaChichesterClark
789,630,IreneVasco
790,631,KarenFoxlee
791,632,ErinHunter
792,633,VashtiHardy
793,634,UteKrause
794,635,InesBalcik
795,636,RafaelBarajas
796,637,JordiSierraiFabra
797,638,JordiSierraiFabra
798,639,AndreuMartín
799,640,HelenkaStachera
800,641,HannahPeck-ilustradora
801,641,JenniJennings
802,642,KatharinaE.Volk
803,643,JosephDelaney
804,644,TonkeDragt
805,645,TomVaughan
806,646,JordiSierraiFabra
807,647,PedroEstrada
808,648,PedroEstrada
809,649,StephanieBurgis
810,650,MarkPowers
811,651,LaurenTarshis
812,652,EmmaCarroll
813,653,MartynFord
814,654,StefanieGerstenberger
815,655,GenevièveGuilbault
816,656,PádraigKenny
817,656,EdwardBettison-illustrator
818,657,EricBattut
819,658,TomAngleberger
820,658,HeatherFox-illustrator
821,659,RhéaDufresne
822,660,MattForbeck
823,661,MattForbeck
824,662,MattForbeck
825,663,MattForbeck
826,664,GeronimoStilton
827,665,ÁlvaroColomer
828,666,ÁlvaroColomer
829,667,JordiSierraiFabra
830,668,JordiSierraiFabra
831,669,JordiSierraiFabra
832,670,JordiSierraiFabra
833,671,JordiSierraiFabra
834,672,JordiSierraiFabra
835,673,LauraMorales
836,674,FranciscoDíazValladares
837,675,AndreuMartín
838,676,AndreuMartín
839,677,AndreuMartín
840,678,AndreuMartín
841,679,AndreuMartín
842,680,AndreuMartín
843,681,AndreuMartín
844,682,ChenJiatong
845,683,EdwardWyke-Smith
846,683,VeronicaCossanteli
847,684,KatjaFrixe
848,685,RosaSchwarz
849,686,RosaSchwarz
850,687,JeffKinney
851,688,MarkusOrths
852,689,ThomasWinkler
853,690,DanJolley
854,691,FeeKrämer
855,692,DanielThomas
856,693,MattForbeck
857,694,AmyTimberlake
858,695,ErikaMcGann
859,696,MorrisGleitzman
860,697,VashtiHardy
861,698,PhilipArdagh
862,699,PhilipReeve
863,700,RichardPickard
864,701,MattHaig
865,702,MartinBrown
866,703,JacoJacobs
867,704,GingerJohnson
868,705,TerriFarley
869,706,TerriFarley
870,707,TerriFarley
871,708,TerriFarley
872,709,TerriFarley
873,710,DavidBaldacci
874,710,TomislavTomic-illustrator
875,711,LennyHenry
876,711,KeenonFerrell-illustrator
877,712,RalphLazar
878,713,RalphLazar
879,714,AlexLondon
880,715,ChristinaDiazGonzalez
881,716,DavPilkey
882,717,JenniJennings
883,718,EliBrown
884,719,AdamRubin
885,720,S.G.Wilson
886,721,various
887,721,R.J.Palacio
888,722,JionSheibani
889,723,DiegoAgrimbau
890,723,MarceloSosa
891,723,TrustedTranslations
892,724,ChrisEverheart
893,724,ArcanaStudio
894,725,OtisFrampton
895,725,LouiseSimonson
896,726,ScottNickel
897,726,SteveHarpster
898,727,MimiZagarriga
899,728,AntoineLanciaux
900,729,SylvainZorzin
901,730,AnneSchmauch
902,731,Mattel
903,732,Mattel
904,732,NicolásOluchaSánchez-traductor
905,733,Mattel
906,734,Mattel
907,735,Mattel
908,736,Mattel
909,736,NicolásOluchaSánchez-traductor
910,737,Mattel
911,738,Mattel
912,738,NicolásOluchaSánchez-traductor
913,739,Mattel
914,740,Mattel
915,741,Mattel
916,741,NicolásOluchaSánchez-traductor
917,742,MarilouAddison
918,743,CarinaDiedericks-Hugo
919,744,CarinaDiedericks-Hugo
920,745,CarinaDiedericks-Hugo
921,746,LluisPrats
922,747,EmilieChazerand
923,748,ElsaDevernois
924,749,ChristopheAlline
925,750,Disney
926,750,HannaGraf
927,750,IdaJohansson
928,751,SofieForsman
929,751,IdaKjellin
930,751,CharlottaBorelius
931,751,
932,752,ChristopherEdge
933,753,ComtessedeSégur
934,754,ComtessedeSégur
935,755,TerriFarley
936,756,Mattel
937,756,RaquelLuqueBenitez-traductor
938,757,ValérieCros
939,758,ComtessedeSégur
940,759,ComtessedeSégur
941,760,Marvel
942,760,TineS.Norbøll
943,761,CélineClaire
944,762,ComtessedeSégur
945,763,ComtessedeSégur
946,764,ComtessedeSégur
947,765,ComtessedeSégur
948,766,SarahDegonse
949,767,CarinaDiedericksHugo
950,768,Mattel
951,768,RaquelLuqueBenitez-traductor
952,769,Marvel
953,769,HeidiSkriverOlsen
954,770,AneesaMarufu
955,771,TerryCollins
956,771,BillAnderson
957,771,TodSmith
958,771,
959,772,LoïcBurlot
960,773,BeatBrechbühl
961,774,LluísPrats
962,775,DanAndréasson
963,775,JanMagnusson
964,775,TerhiKemppinen
965,776,MazEvans
966,777,eOne
967,777,KjartanMárÓmarsson
968,778,eOne
969,778,NicolásOluchaSánchez-traductor
970,779,eOne
971,779,NicolásOluchaSánchez-traductor
972,780,eOne
973,780,NicolásOluchaSánchez-traductor
974,781,eOne
975,781,NicolásOluchaSánchez-traductor
976,782,eOne
977,782,NicolásOluchaSánchez-traductor
978,783,eOne
979,783,NicolásOluchaSánchez-traductor
980,784,eOne
981,784,NicolásOluchaSánchez-traductor
982,785,eOne
983,785,NicolásOluchaSánchez-traductor
984,786,eOne
985,786,NicolásOluchaSánchez-traductor
986,787,eOne
987,787,AnaC.AlcainaPerez-traductor
988,788,eOne
989,788,AnaC.AlcainaPerez-traductor
990,789,eOne
991,789,AnnaKrochmal
992,790,MartinaSchaeffer
993,791,ÁlvaroColomer
994,792,JuliaBoehme
995,793,CamilleLaurans
996,794,StéphanieLedu
997,795,ClaireAstolfi
998,796,GhislaineBiondi
999,797,JacquelineWest
1000,797,LibradaPiñero-traductor
1001,798,KarineDupont-Belrhali
1002,798,NatachaFabry
1003,798,PascaleHedelin
1004,798,
1005,799,Mim
1006,800,CélineClaire
1007,801,StéphanieLedu
1008,802,SiriKolu
1009,803,ItaloCalvino
1010,804,PininCarpi
1011,805,AndréJeanne
1012,806,GillesSerrignyEduar
1013,807,SergeBloch
1014,808,JamesFenimoreCooper
1015,809,RémiVidal
1016,810,Mattel
1017,810,RaquelLuqueBenítez-traductor
1018,811,Mattel
1019,811,RaquelLuqueBenítez-traductor
1020,812,MichelAmelin
1021,813,MaríaMenéndez-Ponte
1022,814,S.A.Patrick
1023,815,AkramEl-Bahay
1024,815,MaxMeinzold-Illustrator
1025,816,TrentReedy
1026,817,Mattel
1027,817,RaquelLuqueBenítez-traductor
1028,818,Mattel
1029,818,RaquelLuqueBenítez-traductor
1030,819,R.L.Ferguson
1031,820,AndreasH.Schmachtl
